0.000000000000000000e+00 4.151229290356330167e-27 6.012707921253664824e-12 1.051567634771703742e+07 -3.471922939984849522e-11 -3.471922939984849522e-11
4.243867641460995523e+20 4.151195268422559003e-27 6.012646755457944451e-12 1.051565555674149282e+07 -6.943686584989866390e-11 -6.943686584989866390e-11
8.487735282921991045e+20 4.151093206534460754e-27 6.012463265688590900e-12 1.051559318518033251e+07 -1.388684984325958729e-10 -1.388684984325958729e-10
1.273160292438298591e+21 4.150923116430491586e-27 6.012157474796639037e-12 1.051548923712975904e+07 -2.082896656821369665e-10 -2.082896656821369665e-10
1.697547056584398209e+21 4.150685017670820099e-27 6.011729420859181860e-12 1.051534371941585839e+07 -2.776951379235674315e-10 -2.776951379235674315e-10
2.121933820730497827e+21 4.150378937631426181e-27 6.011179157167459578e-12 1.051515664159333892e+07 -3.470796890746420125e-10 -3.470796890746420125e-10
2.546320584876597182e+21 4.150004911495855895e-27 6.010506752210143944e-12 1.051492801594362967e+07 -4.164380978410710352e-10 -4.164380978410710352e-10
2.970707349022696800e+21 4.149562982244626687e-27 6.009712289651911529e-12 1.051465785747256689e+07 -4.857651489040214364e-10 -4.857651489040214364e-10
3.395094113168796418e+21 4.149053200642287181e-27 6.008795868307244551e-12 1.051434618390743807e+07 -5.550556341127658046e-10 -5.550556341127658046e-10
3.819480877314896036e+21 4.148475625222146661e-27 6.007757602109536005e-12 1.051399301569361240e+07 -6.243043536716277257e-10 -6.243043536716277257e-10
4.243867641460995654e+21 4.147830322268674945e-27 6.006597620075457887e-12 1.051359837599056028e+07 -6.935061173205871513e-10 -6.935061173205871513e-10
4.668254405607094747e+21 4.147117365797589145e-27 6.005316066264670877e-12 1.051316229066740721e+07 -7.626557455115351073e-10 -7.626557455115351073e-10
5.092641169753194365e+21 4.146336837533633782e-27 6.003913099734856891e-12 1.051268478829794005e+07 -8.317480705884395706e-10 -8.317480705884395706e-10
5.517027933899293983e+21 4.145488826886069321e-27 6.002388894492115710e-12 1.051216590015511774e+07 -9.007779379446894329e-10 -9.007779379446894329e-10
5.941414698045393601e+21 4.144573430921885619e-27 6.000743639436765265e-12 1.051160566020502895e+07 -9.697402071906013092e-10 -9.697402071906013092e-10
